Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
683422;22.273970;57.885426;84.684357;98.590866
685458;22.427074;58.141315;84.851021;98.642929
687448;22.886059;58.396633;85.016846;98.694023
689436;23.191769;58.651375;85.181839;98.744141
691436;23.497246;58.905529;85.345985;98.793282
693437;23.802494;59.159111;85.509285;98.841454
695456;23.955029;59.285675;85.590622;98.888649
697423;24.412279;59.664513;85.833374;98.934868
699422;24.716812;59.916328;85.994133;98.980110
701417;25.021099;60.167564;86.154053;99.024376
703420;25.325144;60.418194;86.313126;99.067665
705426;25.477072;60.543285;86.471344;99.109978
707464;25.932476;60.917675;86.628708;99.151306
709442;26.235760;61.166512;86.785217;99.191658
711442;26.538784;61.414749;86.940872;99.231033
713437;26.841545;61.662369;87.095665;99.269424
715442;26.992828;61.785961;87.172745;99.288261
717461;27.446274;62.155807;87.402679;99.343285
719426;27.748230;62.401592;87.554886;99.378738
721422;28.049919;62.646782;87.706230;99.413216
723426;28.200657;62.769135;87.781586;99.430077
725421;28.501928;63.013386;88.006332;99.479218
727423;28.953299;63.378597;88.155075;99.510742
729461;29.253859;63.621288;88.302956;99.541298
731442;29.554132;63.863350;88.449951;99.570862
733437;29.854111;64.104782;88.596085;99.599434
735439;30.003988;64.225266;88.668823;99.613365
737447;30.453184;64.585754;88.885727;99.653656
739465;30.752268;64.825279;89.029228;99.679283
741428;31.051052;65.064171;89.171860;99.703941
743423;31.349527;65.302414;89.313599;99.727592
745422;31.498650;65.421295;89.454468;99.750282
747430;31.945551;65.776970;89.594444;99.771973
749422;32.243092;66.013275;89.733543;99.792686
751459;32.540310;66.248932;89.871750;99.812408
753444;32.837208;66.483925;90.009079;99.831161
755440;32.985538;66.601181;90.077408;99.840149
757444;33.430038;66.951965;90.281059;99.865677
759442;33.725952;67.184982;90.415710;99.881454
761459;34.021542;67.417351;90.549477;99.896263
763422;34.316792;67.649040;90.682343;99.910065
765421;34.464294;67.764648;90.814316;99.922905
767422;34.906273;68.110428;90.945396;99.934746
769422;35.200500;68.340126;91.075577;99.945602
771573;35.494377;68.569130;91.204857;99.955460
773449;35.787907;68.797470;91.333237;99.964348
775443;35.934536;68.911377;91.397087;99.968422
777441;36.373901;69.252098;91.587296;99.979149
779439;36.666363;69.478394;91.712967;99.985077
781439;36.958458;69.703995;91.837730;99.990013
783456;37.250191;69.928917;91.961601;99.993950
785429;37.395920;70.153137;92.084549;99.996918
787421;37.832550;70.376678;92.206596;99.998894
789421;38.123173;70.599518;92.327728;99.999878
791422;38.413418;70.821655;92.447952;99.999878
793457;38.703281;71.043106;92.567268;99.998894
795424;38.848072;71.153564;92.626579;99.998024
797419;39.281864;71.483887;92.803146;99.993958
799424;39.426273;71.593651;92.861542;99.992104
801416;39.858898;71.921852;93.035355;99.985069
803416;40.146824;72.139763;93.150093;99.979149
805460;40.290646;72.356972;93.263901;99.972237
807446;40.721493;72.573463;93.376793;99.964340
809437;41.008221;72.789238;93.488762;99.955460
811439;41.294548;73.004303;93.599808;99.945602
813441;41.580467;73.218628;93.709930;99.934731
815459;41.723270;73.325531;93.764648;99.922897
817424;42.151066;73.645142;93.927406;99.910072
819424;42.435749;73.857300;94.034752;99.896263
821422;42.720005;74.068733;94.141167;99.881462
823421;43.003841;74.279427;94.246651;99.865677
825421;43.145603;74.384514;94.351212;99.848907
827456;43.570240;74.698639;94.454834;99.831154
829444;43.852798;74.907135;94.557533;99.812408
831437;44.134922;75.114891;94.659294;99.792686
833439;44.416611;75.321907;94.760117;99.771965
835440;44.557289;75.425133;94.810188;99.761246
837460;44.978668;75.733704;94.958969;99.727592
839430;45.259033;75.938484;95.056984;99.703926
841420;45.538948;76.142517;95.154068;99.679283
843419;45.818417;76.345787;95.250214;99.653648
845419;45.957985;76.447151;95.345413;99.627029
847427;46.375996;76.750092;95.439674;99.599434
849460;46.654099;76.951096;95.532990;99.570847
851440;46.931744;77.151352;95.625366;99.541290
853442;47.208927;77.350845;95.716797;99.510735
855441;47.347336;77.450302;95.762161;99.495102
857442;47.761883;77.747536;95.896820;99.446693
859455;48.037659;77.944733;95.985428;99.413208
