Timestamp;.superwatch_ch00
58614128;0.000000
58616135;0.000000
58618171;0.000000
58620136;0.000000
58622134;0.000000
58624130;0.000000
58626133;0.000000
58628161;0.000000
58630122;0.000000
58632109;0.000000
58634115;0.000000
58636105;0.000000
58638127;0.000000
58640164;0.000000
58642138;0.000000
58644141;0.000000
58646142;0.000000
58648152;0.000000
58650163;0.000000
58652117;0.000000
58654111;0.000000
58656118;0.000000
58658131;0.000000
58660112;0.000000
58662157;0.000000
58664134;0.000000
58666134;0.000000
58668151;0.000000
58670134;0.000000
58672149;0.000000
58674114;0.000000
58676110;0.000000
58678121;0.000000
58680116;0.000000
58682159;0.000000
58684119;0.000000
58686108;0.000000
58688119;0.000000
58690110;0.000000
58692109;0.000000
58694158;0.000000
58696135;0.000000
58698144;0.000000
58700135;0.000000
58702131;0.000000
58704157;0.000000
58706119;0.000000
58708129;0.000000
58710110;0.000000
58712115;0.000000
58714110;0.000000
58716160;0.000000
58718150;0.000000
58720133;0.000000
58722134;0.000000
58724130;0.000000
58726154;0.000000
58728126;0.000000
58730111;0.000000
58732110;0.000000
58734106;0.000000
58736108;0.000000
58738172;0.000000
58740134;0.000000
58742135;0.000000
58744130;0.000000
58746133;0.000000
58748173;0.000000
58750116;0.000000
58752110;0.000000
58754111;0.000000
58756109;0.000000
58758282;0.000000
58760136;0.000000
58762130;0.000000
58764134;0.000000
58766131;0.000000
58768147;0.000000
58770163;0.000000
58772131;0.000000
58774129;0.000000
58776127;0.000000
58778146;0.000000
58780156;0.000000
58782112;0.000000
58784114;0.000000
58786110;0.000000
58788121;0.000000
58790113;0.000000
58792160;0.000000
58794132;0.000000
58796132;0.000000
58798149;0.000000
58800130;0.000000
58802158;0.000000
58804120;0.000000
58806109;0.000000
58808125;0.000000
58810115;0.000000
58812115;0.000000
58814157;0.000000
58816127;0.000000
58818147;0.000000
58820133;0.000000
58822135;0.000000
58824159;0.000000
58826122;0.000000
58828124;0.000000
58830116;0.000000
58832112;0.000000
58834166;0.000000
58836155;0.000000
58838150;0.000000
58840135;0.000000
58842132;0.000000
58844126;0.000000
58846158;0.000000
58848127;0.000000
58850112;0.000000
58852112;0.000000
58854112;0.000000
58856113;0.000000
58858157;0.000000
58860118;0.000000
58862113;0.000000
58864112;0.000000
58866105;0.000000
58868256;0.000000
58870140;0.000000
58872130;0.000000
58874129;0.000000
58876127;0.000000
58878146;0.000000
58880153;0.000000
58882135;0.000000
58884129;0.000000
58886129;0.000000
58888141;0.000000
58890158;0.000000
58892115;0.000000
58894114;0.000000
58896112;0.000000
58898120;0.000000
58900116;0.000000
58902150;0.000000
58904115;0.000000
58906116;0.000000
58908130;0.000000
58910118;0.000000
58912155;0.000000
58914120;0.000000
58916111;0.000000
58918123;0.000000
58920107;0.000000
58922105;0.000000
58924160;0.000000
58926138;0.000000
58928156;0.000000
58930130;0.000000
58932132;0.000000
58934160;0.000000
58936118;0.000000
58938128;0.000000
58940117;0.000000
58942114;0.000000
58944114;0.000000
58946160;0.000000
58948150;0.000000
58950133;0.000000
58952132;0.000000
58954133;0.000000
58956158;0.000000
58958145;0.000000
58960133;0.000000
58962131;0.000000
58964127;0.000000
58966163;0.000000
58968129;0.000000
58970112;0.000000
58972109;0.000000
58974114;0.000000
58976112;0.000000
58978170;0.000000
58980136;0.000000
58982133;0.000000
58984131;0.000000
58986135;0.000000
58988169;0.000000
58990115;0.000000
58992116;0.000000
58994110;0.000000
58996106;0.000000
58998129;0.000000
59000160;0.000000
59002134;0.000000
59004139;0.000000
59006139;0.000000
59008149;0.000000
59010154;0.000000
59012117;0.000000
59014113;0.000000
59016112;0.000000
59018132;0.000000
59020114;0.000000
59022157;0.000000
59024134;0.000000
59026129;0.000000
59028153;0.000000
59030132;0.000000
59032158;0.000000
59034115;0.000000
59036111;0.000000
59038122;0.000000
59040108;0.000000
59042111;0.000000
59044156;0.000000
59046135;0.000000
59048147;0.000000
59050133;0.000000
59052122;0.000000
59054158;0.000000
59056119;0.000000
59058127;0.000000
59060119;0.000000
59062111;0.000000
59064158;0.000000
59066120;0.000000
59068121;0.000000
59070113;0.000000
59072108;0.000000
59074111;0.000000
59076157;0.000000
59078152;0.000000
